Libellé;Indice CVS-CJO de la production industrielle (base 100 en 2021) - Extraction d'hydrocarbures (NAF rév. 2, niveau division, poste 06);Codes
idBank;010767575;
Dernière mise à jour;05/04/2024 08:45;
Période;;
2024-02;83.2;A
2024-01;85.23;A
2023-12;88.36;A
2023-11;89.58;A
2023-10;89.54;A
2023-09;90.07;A
2023-08;91.47;A
2023-07;89.99;A
2023-06;90.38;A
2023-05;94.2;A
2023-04;90.11;A
2023-03;85.72;A
2023-02;89.88;A
2023-01;90.2;A
2022-12;88.71;A
2022-11;88.96;A
2022-10;86.76;A
2022-09;85.98;A
2022-08;84.01;A
2022-07;89.24;A
2022-06;96.11;A
2022-05;93.77;A
2022-04;95.04;A
2022-03;99.69;A
2022-02;97.92;A
2022-01;98.05;A
2021-12;98.81;A
2021-11;97.73;A
2021-10;79.99;A
2021-09;98.45;A
2021-08;100.88;A
2021-07;101.91;A
2021-06;104.16;A
2021-05;104.42;A
2021-04;101.78;A
2021-03;102.69;A
2021-02;104.0;A
2021-01;105.17;A
2020-12;104.01;A
2020-11;105.6;A
2020-10;106.62;A
2020-09;106.21;A
2020-08;106.06;A
2020-07;104.83;A
2020-06;97.73;A
2020-05;62.42;A
2020-04;72.86;A
2020-03;109.23;A
2020-02;111.07;A
2020-01;111.72;A
2019-12;113.17;A
2019-11;111.54;A
2019-10;113.35;A
2019-09;111.32;A
2019-08;107.28;A
2019-07;105.45;A
2019-06;100.93;A
2019-05;96.14;A
2019-04;116.48;A
2019-03;115.91;A
2019-02;121.66;A
2019-01;119.84;A
2018-12;117.17;A
2018-11;117.56;A
2018-10;118.97;A
2018-09;117.06;A
2018-08;118.2;A
2018-07;121.32;A
2018-06;120.47;A
2018-05;116.99;A
2018-04;119.57;A
2018-03;117.8;A
2018-02;115.64;A
2018-01;115.48;A
2017-12;117.21;A
2017-11;120.11;A
2017-10;115.94;A
2017-09;115.36;A
2017-08;113.53;A
2017-07;112.85;A
2017-06;116.41;A
2017-05;117.78;A
2017-04;118.06;A
2017-03;114.68;A
2017-02;112.75;A
2017-01;117.18;A
2016-12;118.91;A
2016-11;118.11;A
2016-10;119.43;A
2016-09;120.11;A
2016-08;123.97;A
2016-07;123.67;A
2016-06;123.77;A
2016-05;124.47;A
2016-04;127.36;A
2016-03;129.77;A
2016-02;131.56;A
2016-01;130.19;A
2015-12;130.42;A
2015-11;131.75;A
2015-10;126.69;A
2015-09;123.96;A
2015-08;126.87;A
2015-07;130.21;A
2015-06;131.22;A
2015-05;131.46;A
2015-04;126.99;A
2015-03;125.82;A
2015-02;124.13;A
2015-01;120.41;A
2014-12;110.74;A
2014-11;110.33;A
2014-10;115.21;A
2014-09;111.45;A
2014-08;111.84;A
2014-07;110.03;A
2014-06;108.99;A
2014-05;110.36;A
2014-04;111.37;A
2014-03;110.27;A
2014-02;111.25;A
2014-01;112.51;A
2013-12;114.53;A
2013-11;112.6;A
2013-10;127.22;A
2013-09;153.52;A
2013-08;163.37;A
2013-07;157.71;A
2013-06;157.51;A
2013-05;157.23;A
2013-04;156.81;A
2013-03;156.96;A
2013-02;162.07;A
2013-01;153.67;A
2012-12;160.0;A
2012-11;162.07;A
2012-10;163.09;A
2012-09;163.99;A
2012-08;163.37;A
2012-07;160.9;A
2012-06;164.89;A
2012-05;166.51;A
2012-04;170.54;A
2012-03;166.44;A
2012-02;166.7;A
2012-01;165.26;A
2011-12;173.71;A
2011-11;175.67;A
2011-10;177.9;A
2011-09;163.87;A
2011-08;179.11;A
2011-07;179.67;A
2011-06;184.8;A
2011-05;182.86;A
2011-04;171.35;A
2011-03;173.13;A
2011-02;192.89;A
2011-01;197.81;A
2010-12;197.12;A
2010-11;213.41;A
2010-10;191.64;A
2010-09;196.59;A
2010-08;195.17;A
2010-07;200.35;A
2010-06;190.3;A
2010-05;181.44;A
2010-04;180.85;A
2010-03;193.22;A
2010-02;185.76;A
2010-01;190.11;A
2009-12;188.08;A
2009-11;194.63;A
2009-10;198.88;A
2009-09;197.88;A
2009-08;197.42;A
2009-07;201.86;A
2009-06;206.55;A
2009-05;203.98;A
2009-04;205.69;A
2009-03;208.13;A
2009-02;220.94;A
2009-01;202.08;A
2008-12;215.21;A
2008-11;210.69;A
2008-10;180.83;A
2008-09;187.47;A
2008-08;215.56;A
2008-07;223.86;A
2008-06;220.62;A
2008-05;217.84;A
2008-04;223.85;A
2008-03;224.84;A
2008-02;223.44;A
2008-01;225.35;A
2007-12;221.76;A
2007-11;216.63;A
2007-10;228.31;A
2007-09;224.88;A
2007-08;226.9;A
2007-07;230.58;A
2007-06;232.64;A
2007-05;222.73;A
2007-04;189.44;A
2007-03;225.19;A
2007-02;211.25;A
2007-01;216.59;A
2006-12;232.55;A
2006-11;240.95;A
2006-10;240.54;A
2006-09;239.18;A
2006-08;237.18;A
2006-07;226.91;A
2006-06;236.2;A
2006-05;240.07;A
2006-04;245.39;A
2006-03;238.2;A
2006-02;249.88;A
2006-01;247.86;A
2005-12;242.64;A
2005-11;217.93;A
2005-10;202.06;A
2005-09;200.9;A
2005-08;239.77;A
2005-07;245.52;A
2005-06;255.04;A
2005-05;254.98;A
2005-04;249.63;A
2005-03;252.65;A
2005-02;246.89;A
2005-01;260.18;A
2004-12;254.77;A
2004-11;246.48;A
2004-10;254.24;A
2004-09;259.04;A
2004-08;260.79;A
2004-07;270.96;A
2004-06;266.74;A
2004-05;284.57;A
2004-04;282.2;A
2004-03;276.96;A
2004-02;281.7;A
2004-01;278.64;A
2003-12;287.21;A
2003-11;267.93;A
2003-10;255.11;A
2003-09;281.19;A
2003-08;279.02;A
2003-07;287.14;A
2003-06;290.23;A
2003-05;298.73;A
2003-04;302.81;A
2003-03;301.7;A
2003-02;300.71;A
2003-01;298.4;A
2002-12;306.78;A
2002-11;294.35;A
2002-10;305.71;A
2002-09;317.34;A
2002-08;314.34;A
2002-07;319.6;A
2002-06;327.09;A
2002-05;322.99;A
2002-04;324.09;A
2002-03;328.32;A
2002-02;324.78;A
2002-01;327.59;A
2001-12;292.66;A
2001-11;293.97;A
2001-10;326.61;A
2001-09;330.38;A
2001-08;334.28;A
2001-07;333.08;A
2001-06;350.61;A
2001-05;340.25;A
2001-04;340.4;A
2001-03;342.76;A
2001-02;342.04;A
2001-01;346.38;A
2000-12;351.92;A
2000-11;345.55;A
2000-10;350.04;A
2000-09;347.99;A
2000-08;361.77;A
2000-07;337.28;A
2000-06;282.46;A
2000-05;310.01;A
2000-04;321.42;A
2000-03;350.12;A
2000-02;357.49;A
2000-01;347.95;A
1999-12;341.17;A
1999-11;374.95;A
1999-10;381.77;A
1999-09;375.52;A
1999-08;375.96;A
1999-07;386.81;A
1999-06;355.5;A
1999-05;259.04;A
1999-04;358.86;A
1999-03;385.07;A
1999-02;375.54;A
1999-01;374.38;A
1998-12;388.47;A
1998-11;410.7;A
1998-10;400.94;A
1998-09;393.72;A
1998-08;398.24;A
1998-07;406.07;A
1998-06;378.39;A
1998-05;377.24;A
1998-04;412.58;A
1998-03;393.71;A
1998-02;411.88;A
1998-01;414.34;A
1997-12;426.2;A
1997-11;415.89;A
1997-10;425.44;A
1997-09;424.7;A
1997-08;425.47;A
1997-07;444.62;A
1997-06;429.52;A
1997-05;434.34;A
1997-04;451.04;A
1997-03;440.21;A
1997-02;448.11;A
1997-01;443.49;A
1996-12;452.62;A
1996-11;460.4;A
1996-10;464.8;A
1996-09;485.37;A
1996-08;471.37;A
1996-07;420.76;A
1996-06;476.46;A
1996-05;534.99;A
1996-04;541.59;A
1996-03;547.11;A
1996-02;543.92;A
1996-01;570.83;A
1995-12;564.28;A
1995-11;614.0;A
1995-10;589.51;A
1995-09;591.57;A
1995-08;580.23;A
1995-07;511.75;A
1995-06;513.06;A
1995-05;607.71;A
1995-04;595.16;A
1995-03;603.7;A
1995-02;600.94;A
1995-01;612.32;A
1994-12;609.57;A
1994-11;619.51;A
1994-10;612.73;A
1994-09;588.01;A
1994-08;664.74;A
1994-07;649.67;A
1994-06;672.14;A
1994-05;632.84;A
1994-04;651.87;A
1994-03;652.91;A
1994-02;653.86;A
1994-01;616.6;A
1993-12;675.89;A
1993-11;662.94;A
1993-10;617.57;A
1993-09;542.84;A
1993-08;634.49;A
1993-07;623.12;A
1993-06;612.23;A
1993-05;629.53;A
1993-04;645.84;A
1993-03;636.09;A
1993-02;641.16;A
1993-01;638.6;A
1992-12;626.23;A
1992-11;613.6;A
1992-10;631.82;A
1992-09;612.21;A
1992-08;616.36;A
1992-07;626.16;A
1992-06;630.22;A
1992-05;653.64;A
1992-04;657.56;A
1992-03;660.19;A
1992-02;665.29;A
1992-01;655.09;A
1991-12;664.69;A
1991-11;652.49;A
1991-10;640.74;A
1991-09;593.63;A
1991-08;657.55;A
1991-07;660.77;A
1991-06;758.01;A
1991-05;670.64;A
1991-04;660.17;A
1991-03;656.57;A
1991-02;648.46;A
1991-01;652.93;A
1990-12;657.64;A
1990-11;670.2;A
1990-10;681.77;A
1990-09;680.64;A
1990-08;594.73;A
1990-07;407.03;A
1990-06;632.54;A
1990-05;657.03;A
1990-04;673.73;A
1990-03;695.0;A
1990-02;684.72;A
1990-01;693.22;A
